volume,weight,cylinders,fuel_type,co2
2554,1629,4,Hybrid,165.73
1917,1122,3,Diesel,153.5
3074,2251,8,Petrol,265.91
2904,1258,6,Hybrid,175.47
1787,2473,5,Diesel,222.69
1770,1161,6,Hybrid,134.08
3222,1543,3,Hybrid,181.06
1259,1810,5,Diesel,163.28
3185,865,6,Petrol,185.8
3088,1015,6,Hybrid,174.88
3380,1797,3,Diesel,208.45
1558,2380,6,Hybrid,198.55
1627,1880,4,Petrol,178.47
1601,1820,6,Petrol,200.66
3488,1026,4,Diesel,190.72
2460,1525,4,Hybrid,163.23
1126,2161,4,Diesel,175.55
2555,2414,4,Diesel,236.33
2850,964,4,Hybrid,156.91
3356,2445,4,Hybrid,237.75
1409,1047,3,Petrol,134.76
1627,1689,4,Petrol,185.29
2207,2428,6,Petrol,241.36
1380,1590,4,Hybrid,132.5
2078,872,8,Petrol,166.94
2444,1667,5,Diesel,193.33
2419,1944,3,Petrol,212.05
2427,2327,6,Diesel,223.99
1825,2188,5,Petrol,217.07
2185,1297,4,Diesel,163.92
1228,1746,6,Diesel,164.66
2100,2252,5,Diesel,214.0
1951,1732,5,Diesel,195.58
3402,1176,5,Diesel,201.03
3375,2117,6,Petrol,247.24
1709,1557,3,Hybrid,140.4
2109,1245,4,Hybrid,138.97
2606,2371,4,Diesel,234.06
2315,2194,6,Petrol,218.85
3078,1264,3,Hybrid,160.54
1585,1896,6,Petrol,190.22
2607,1808,8,Hybrid,202.05
3487,2416,8,Diesel,262.9
984,1065,5,Petrol,139.64
1138,1703,5,Diesel,174.0
3465,2305,8,Hybrid,239.25
1310,2475,6,Diesel,213.91
1984,1793,5,Petrol,203.34
2729,2272,6,Diesel,235.7
1632,1586,5,Petrol,173.14
3245,2283,6,Petrol,260.39
2862,2023,6,Hybrid,199.97
1206,1938,4,Diesel,172.82
1370,1525,6,Petrol,169.59
916,2016,8,Diesel,189.29
3287,1503,6,Diesel,207.13
3309,947,6,Petrol,186.3
2994,1320,8,Diesel,200.42
2698,967,6,Petrol,187.07
1379,1842,4,Diesel,167.87
2395,994,8,Petrol,189.12
1611,2287,5,Hybrid,191.89
3091,1016,3,Hybrid,146.01
1460,1157,8,Petrol,158.23
3000,2174,6,Petrol,239.91
1848,2109,8,Hybrid,187.33
1116,1551,6,Petrol,163.84
1355,1150,6,Hybrid,138.96
951,1323,6,Hybrid,133.18
1864,2010,6,Hybrid,186.91
1228,1180,4,Diesel,136.26
2183,2056,3,Hybrid,175.53
2131,1175,4,Petrol,174.77
3177,1455,5,Petrol,210.25
1196,932,5,Petrol,139.47
2199,1535,5,Petrol,187.08
2008,2099,4,Hybrid,172.67
975,2414,5,Hybrid,170.5
2998,2315,4,Petrol,240.61
1123,1284,4,Hybrid,116.05
3223,1042,6,Petrol,198.78
1017,1263,4,Petrol,145.85
1150,1371,4,Hybrid,130.73
1509,856,3,Hybrid,104.66
2727,1001,4,Hybrid,142.89
2680,1120,6,Hybrid,153.22
2956,1177,4,Hybrid,163.32
1753,2315,3,Diesel,200.73
1610,1125,6,Hybrid,142.82
1606,2255,5,Petrol,210.15
2966,1962,3,Petrol,213.75
1828,2257,6,Diesel,211.75
1196,1344,5,Diesel,155.22
2268,1865,4,Petrol,207.49
1021,928,6,Petrol,133.59
1104,2207,5,Petrol,187.78
1944,870,8,Hybrid,136.66
2393,1083,4,Diesel,161.34
2149,1937,5,Petrol,205.44
1011,1576,4,Petrol,159.36
2454,886,5,Diesel,168.52
1903,1952,4,Petrol,186.85
1620,1283,4,Diesel,155.65
1188,2170,3,Diesel,170.13
2685,1015,5,Diesel,170.77
2439,2422,8,Hybrid,218.22
2312,1088,5,Hybrid,141.13
1036,1299,5,Diesel,146.27
2009,1478,8,Hybrid,164.6
2711,2212,6,Hybrid,201.65
1972,1008,6,Petrol,169.41
2056,1862,6,Diesel,205.07
2214,1893,4,Hybrid,179.41
1333,1436,6,Petrol,159.31
2045,1779,6,Diesel,205.1
1248,2276,3,Petrol,191.38
3497,1115,6,Petrol,206.07
3301,2035,3,Petrol,223.03
2212,1296,4,Hybrid,151.42
1337,876,6,Diesel,130.51
1452,2434,5,Petrol,215.44
1328,1484,4,Diesel,152.7
1294,1009,5,Hybrid,113.33
1548,2392,5,Hybrid,178.31
